Designator,Footprint,Quantity,Value,LCSC Part #
2596-ADJ1,TO-263-5_TabPin3,1,REGULADOR ADJ,
A1,Clone_Mega2560_Pro_Socket,1,Clone_Mega2560_Pro_Socket,
C1,CP_Radial_D6.3mm_P2.50mm,1,470uf 35v,
C2,0805,1,C,
C3,CP_Radial_D6.3mm_P2.50mm,1,220UF,
D1,1206,1,LED,
"D10, D3, D4, D5, D6, D7, D8, D9",0603,8,LED,
D2,D_SMA,1,SS24,
J1,"PhoenixContact_MCV_1,5_3-G-3.81_1x03_P3.81mm_Vertical",1,1x3,
J10,BarrelJack_Horizontal,1,12V,
"J11, J13, J15, J16","PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical",4,Screw_Terminal_01x03,
"J12, J14, J17, J18",PinHeader_1x03_P2.54mm_Vertical,4,Conn_01x03_Female,
J19,"PhoenixContact_MCV_1,5_8-G-3.81_1x08_P3.81mm_Vertical",1,ENTRADAS OPTOS,
J2,"PhoenixContact_MCV_1,5_8-G-3.81_1x08_P3.81mm_Vertical",1,Screw_Terminal_01x10,
"J3, J5, J8","PhoenixContact_MCV_1,5_10-G-3.81_1x10_P3.81mm_Vertical",3,Screw_Terminal_01x10,
J4,"PhoenixContact_MCV_1,5_7-G-3.81_1x07_P3.81mm_Vertical",1,Screw_Terminal_01x07,
"J6, J7","PhoenixContact_MCV_1,5_6-G-3.81_1x06_P3.81mm_Vertical",2,Screw_Terminal_01x06,
J9,"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical",1,Screw_Terminal_01x04,
K1,Relay_SPDT_Omron-G5LE-1,1,Rele3,
K2,Relay_SPDT_Omron-G5LE-1,1,Rele1,
K3,Relay_SPDT_Omron-G5LE-1,1,Rele4,
K4,Relay_SPDT_Omron-G5LE-1,1,Rele2,
L1,L_Bourns-SRN1060,1,330,
"R1, R2",0603,2,1K,
"R10, R11, R12, R13, R14, R15, R8, R9",0603,8,3K,
R3,0603,1,330,
"R4, R5, R6, R7",0603,4,R,
U1,SOP-16_4.55x10.3mm_P1.27mm,1,ULN2003,
U2,DIP-4_W7.62mm,1,OPTO1,
U3,DIP-4_W7.62mm,1,OPTO2,
U4,DIP-4_W7.62mm,1,OPTO3,
U5,DIP-4_W7.62mm,1,OPTO4,
